worker_id,assignments_done,items_done,controls_done,controls_correct,control_accuracy,median_duration_sec,mean_duration_sec,yes_count,no_count,not_working_count,yes_share,no_share,not_working_share,quality_segment
06655c8d-0921-4cee-9eb8-0298c5829824,4,40,4,3,0.75,350.5,370.5,18,20,2,0.45,0.5,0.05,unknown_low_controls
066845d8-bad4-4f70-b927-e6d342d3fcfe,2,20,4,2,0.5,258.5,258.5,14,5,1,0.7,0.25,0.05,unknown_low_controls
066dc43d-91a4-4b2b-9d6b-e4b8d827ecf9,2,20,4,3,0.75,501.5,501.5,6,13,1,0.3,0.65,0.05,unknown_low_controls
066fb91c-c59a-4050-b19b-ade778bb4112,5,50,5,3,0.6,526.0,817.0,25,20,5,0.5,0.4,0.1,bad
06917fad-d7d1-44a4-be43-62200b61bb41,2,20,3,2,0.6666666666666666,523.5,523.5,8,12,0,0.4,0.6,0.0,unknown_low_controls
06a5ed4f-2c29-43d7-9dcc-4854b1ded69e,33,330,65,54,0.8307692307692308,390.0,430.06060606060606,162,154,14,0.4909090909090909,0.4666666666666667,0.04242424242424243,risky
06c50ff6-b9e9-49bf-aa33-87e77a1f78c2,8,80,8,5,0.625,254.5,295.0,44,33,3,0.55,0.4125,0.0375,bad
06c8be11-c750-43c7-8391-5ad37d35078d,4,40,8,5,0.625,601.0,555.25,29,9,2,0.725,0.225,0.05,bad
07037245-15dd-4a7e-8110-a5c54ab0e1b1,18,180,36,31,0.8611111111111112,355.5,493.6666666666667,99,67,14,0.55,0.37222222222222223,0.07777777777777778,good
0712f446-da8b-48cd-89ca-240065391f85,11,110,11,7,0.6363636363636364,561.0,710.0909090909091,56,49,5,0.509090909090909,0.44545454545454544,0.045454545454545456,bad
071846f0-4d60-400e-b0ba-8b889c02b1d2,3,30,6,5,0.8333333333333334,242.0,261.0,18,12,0,0.6,0.4,0.0,risky
071fe999-2435-4fbe-9d18-87ce0ba97f38,33,330,66,55,0.8333333333333334,532.0,597.7878787878788,185,124,21,0.5606060606060606,0.37575757575757573,0.06363636363636363,risky
072c484c-acdd-4ecd-90c1-a6986087f827,5,50,5,3,0.6,14.0,153.6,39,10,1,0.78,0.2,0.02,bad
0745baf0-6017-40f0-8473-62b253985830,18,90,18,14,0.7777777777777778,354.0,374.55555555555554,47,39,4,0.5222222222222223,0.43333333333333335,0.044444444444444446,risky
076b4702-cdc9-4041-ba22-76d4077b3d3d,3,30,3,2,0.6666666666666666,355.0,307.6666666666667,19,10,1,0.6333333333333333,0.3333333333333333,0.03333333333333333,unknown_low_controls
07891811-6a96-4d7e-a769-ab2ea904894b,12,60,12,9,0.75,138.0,149.75,35,24,1,0.5833333333333334,0.4,0.016666666666666666,risky
07b2429e-1969-4875-8290-0d05afa404e8,6,60,12,8,0.6666666666666666,266.0,295.3333333333333,46,8,6,0.7666666666666667,0.13333333333333333,0.1,risky
07b86d4e-9208-4e35-8abf-d366b4a81764,17,170,17,13,0.7647058823529411,536.0,537.8235294117648,80,76,14,0.47058823529411764,0.4470588235294118,0.08235294117647059,risky
07d76764-40e0-4957-8c11-f43a945afec8,6,60,12,7,0.5833333333333334,428.0,595.3333333333334,37,21,2,0.6166666666666667,0.35,0.03333333333333333,bad
07f48a2c-4c87-4047-a273-e9aaa192face,6,60,12,8,0.6666666666666666,368.5,391.0,36,21,3,0.6,0.35,0.05,risky
08188725-dfd0-45d9-a7fc-3c88fbc78603,11,110,22,17,0.7727272727272727,264.0,311.6363636363636,65,44,1,0.5909090909090909,0.4,0.00909090909090909,risky
081ff44e-ab42-466b-85b0-9800acc6071f,12,120,15,11,0.7333333333333333,1093.0,1017.4166666666666,74,43,3,0.6166666666666667,0.35833333333333334,0.025,risky
0837bef2-82fa-424f-aeb8-13adc4cb3eae,1,10,2,1,0.5,237.0,237.0,9,1,0,0.9,0.1,0.0,unknown_low_controls
084c8189-4320-4669-bb64-94d72947728b,4,40,4,1,0.25,203.0,197.5,23,16,1,0.575,0.4,0.025,unknown_low_controls
084f122e-6016-473e-a10c-6f3c5b17a9ee,1,10,2,1,0.5,730.0,730.0,8,2,0,0.8,0.2,0.0,unknown_low_controls
085353e0-5648-4eef-ae50-fd59bb43b64d,1,5,1,0,0.0,194.0,194.0,4,1,0,0.8,0.2,0.0,unknown_low_controls
0874eef9-490f-4c41-87ff-ee65f6c6bf22,10,100,10,7,0.7,469.5,581.6,53,41,6,0.53,0.41,0.06,risky
08c2ebf7-98eb-40ed-8357-df5cee320961,4,40,4,2,0.5,854.0,814.0,28,11,1,0.7,0.275,0.025,unknown_low_controls
08c50476-e999-487a-88db-6140511e7b57,3,30,3,1,0.3333333333333333,106.0,116.0,13,16,1,0.43333333333333335,0.5333333333333333,0.03333333333333333,unknown_low_controls
08c55506-4126-4e07-af5e-f21e45582b67,12,120,24,19,0.7916666666666666,882.0,991.75,61,57,2,0.5083333333333333,0.475,0.016666666666666666,risky
08d14875-06e0-4e2e-b151-c987b7310415,18,90,18,14,0.7777777777777778,409.0,415.3888888888889,43,41,6,0.4777777777777778,0.45555555555555555,0.06666666666666667,risky
08db67cc-97d8-4f0a-aa09-e9f535709864,5,50,5,3,0.6,528.0,788.8,24,24,2,0.48,0.48,0.04,bad
0910b59c-850c-478c-8450-f7af8b2b3f65,16,160,16,12,0.75,205.5,204.125,75,85,0,0.46875,0.53125,0.0,risky
091cb947-f972-4283-96f4-36f2d69034d0,5,50,10,7,0.7,232.0,224.2,33,13,4,0.66,0.26,0.08,risky
094a786a-ede7-4cd7-aa9e-f200689b095b,7,35,7,5,0.7142857142857143,323.0,301.0,11,20,4,0.3142857142857143,0.5714285714285714,0.11428571428571428,risky
094b5aeb-6837-4a30-a3f3-680a84012aef,15,150,15,11,0.7333333333333333,472.0,474.3333333333333,83,56,11,0.5533333333333333,0.37333333333333335,0.07333333333333333,risky
094c5c62-e693-44e6-a7e1-7d9d902a6003,13,65,13,9,0.6923076923076923,281.0,272.6923076923077,32,32,1,0.49230769230769234,0.49230769230769234,0.015384615384615385,risky
095ac833-f045-4a5a-aa16-68192e64773c,41,410,49,42,0.8571428571428571,257.0,380.5365853658537,240,166,4,0.5853658536585366,0.40487804878048783,0.00975609756097561,good
096de7b7-c9ce-4bc0-af4a-f9d5ac8501b3,8,40,8,5,0.625,385.5,442.875,14,22,4,0.35,0.55,0.1,bad
0989a651-e516-4c1a-ae4e-03a76719ca75,3,30,6,2,0.3333333333333333,34.0,137.33333333333334,30,0,0,1.0,0.0,0.0,bad
098dba93-584b-4676-8333-8d309985f870,4,33,6,3,0.5,307.0,312.8484848484849,21,10,2,0.6363636363636364,0.30303030303030304,0.06060606060606061,bad
099e2874-b954-443f-bc10-024ad934600c,9,90,18,14,0.7777777777777778,429.0,413.55555555555554,30,57,3,0.3333333333333333,0.6333333333333333,0.03333333333333333,risky
09ad474f-4de4-4f17-9057-776f63dd5640,5,50,10,7,0.7,210.0,246.6,18,28,4,0.36,0.56,0.08,risky
09b10116-2cc1-4ad3-a551-345ff8dffde4,7,70,14,9,0.6428571428571429,189.0,280.42857142857144,27,41,2,0.38571428571428573,0.5857142857142857,0.02857142857142857,bad
0a01ef0a-50e9-41f4-ac46-3b15aef88135,1,10,2,0,0.0,133.0,133.0,0,0,10,0.0,0.0,1.0,unknown_low_controls
0a04582b-6a03-4247-be43-7e426f13a69a,6,60,12,8,0.6666666666666666,278.0,280.5,36,19,5,0.6,0.31666666666666665,0.08333333333333333,risky
0a23005c-9527-43f0-8938-d7473dd840d9,2,20,4,1,0.25,232.5,232.5,10,2,8,0.5,0.1,0.4,unknown_low_controls
0ac1a8b7-b788-47ce-a14e-c73b5cba800f,1,10,2,1,0.5,462.0,462.0,6,4,0,0.6,0.4,0.0,unknown_low_controls
0add03ee-1836-43db-819b-0b25d4ef4263,12,120,12,8,0.6666666666666666,246.0,380.25,52,58,10,0.43333333333333335,0.48333333333333334,0.08333333333333333,risky
0af93d71-971a-4190-bf3f-ee786ae4013d,4,40,8,5,0.625,464.5,541.0,13,26,1,0.325,0.65,0.025,bad
0b13b82a-18a9-415a-8215-7182b55657f3,12,120,12,9,0.75,287.5,329.1666666666667,70,37,13,0.5833333333333334,0.30833333333333335,0.10833333333333334,risky
0b359a87-a25a-4131-a440-29e3572c42bf,3,30,3,1,0.3333333333333333,940.0,829.3333333333334,19,9,2,0.6333333333333333,0.3,0.06666666666666667,unknown_low_controls
